Name,url,Active,Years Played,Position,Clubs Played,IOC
Róbert Mak,/en/players/73fc8cc3/Robert-Mak,True,2010-2024,"FW,MF","Slovakia, Sydney FC, PAOK, Nürnberg, Zenit Saint Petersburg, Ferencváros, Konyaspor",SVK
Tomáš Malec,/en/players/5f621d94/Tomas-Malec,True,2014-2017,FW,"Lillestrøm, Rosenborg, Sigma Olomouc",SVK
Nino Marcelli,/en/players/9b824864/Nino-Marcelli,True,2022-2024,MF,ŠK Slovan Bratislava,SVK
Matúš Marcin,/en/players/1e3f20e8/Matus-Marcin,True,2014-2018,FW,Vysočina Jihlava,SVK
Marko Maroši,/en/players/1aa0308a/Marko-Marosi,True,2014-2024,GK,"Shrewsbury Town, Doncaster Rovers, Coventry City",SVK
Ján Maslo,/en/players/7c93a152/Jan-Maslo,True,2011-2014,DF,Volyn Lutsk,SVK
Ľudmila Maťavková,/en/players/be9b011d/Ludmila-Matavkova,True,2019-2025,MF,"Anderlecht, Club Brugge, Charleroi, Slovakia",SVK
Róbert Matejov,/en/players/8270ccf9/Robert-Matejov,True,2015-2023,"DF,MF","Fastav Zlín, Zbrojovka Brno",SVK
Róbert Mazáň,/en/players/30672832/Robert-Mazan,True,2014-2024,"DF,MF","PFC Hebar Pazardzhik, Mladá Boleslav, Slovakia, Tenerife, Karviná, Venezia, Celta Vigo",SVK
Lenka Mazúchová,/en/players/884cb1a2/Lenka-Mazuchova,True,2025,MF,,SVK
Sinan Medgyes,/en/players/8018966c/Sinan-Medgyes,True,2020-2024,MF,"Zalaegerszeg, Diósgyőr, Budafoki MTE, Paks",SVK
Ivan Mesík,/en/players/7e054ee8/Ivan-Mesik,True,2019-2024,DF,"Pescara, Nordsjælland, Stabæk, Odd",SVK
Karol Mészáros,/en/players/42045917/Karol-Meszaros,True,2014-2023,"FW,MF","Haladás, České Budějovice, Slovan Liberec, Puskás Akadémia, Debrecen, Újpest",SVK
Kristian Michal,/en/players/b7669d1e/Kristian-Michal,True,2017-2023,MF,Slovan Liberec,SVK
Mária Mikolajová,/en/players/07ee8887/Maria-Mikolajova,True,2017-2025,MF,"St. Pölten, Slovakia",SVK
Andrej Mikolás,/en/players/6a015ee2/Andrej-Mikolas,True,2023-2024,GK,ŠK Slovan Bratislava,SVK
Martin Mikovič,/en/players/60c4464f/Martin-Mikovic,True,2016-2024,"DF,FW","FC Spartak Trnava, Bruk-Bet Termalica Nieciecza",SVK
Matúš Mikuš,/en/players/28c16010/Matus-Mikus,True,2012-2017,FW,"Bohemians 1905, Admira Wacker Mödling",SVK
Rajmund Mikuš,/en/players/4466139a/Rajmund-Mikus,True,2020-2024,MF,Karviná,SVK
Alexander Mojžiš,/en/players/01243b97/Alexander-Mojzis,True,2023-2024,DF,Debrecen,SVK
Karol Mondek,/en/players/67bc8eab/Karol-Mondek,True,2011-2021,MF,"Opava, Baník Ostrava, AGOVV Apeldoorn",SVK
Tamara Morávková,/en/players/dbbde74a/Tamara-Moravkova,True,2022-2025,MF,"Slavia Prague, Slovakia",SVK
Samuel Mráz,/en/players/be6c1ccc/Samuel-Mraz,True,2018-2024,FW,"Volos N.F.C., Zagłębie Lubin, Brøndby, Mirandés, ŠK Slovan Bratislava, Empoli, Slovakia, Crotone, Sp",SVK
Patrik Myslovič,/en/players/45fbd42c/Patrik-Myslovic,True,2022-2024,MF,"Levski Sofia, Aberdeen",SVK
Sebastian Nebyla,/en/players/4c53f9b7/Sebastian-Nebyla,True,2018-2024,MF,"Jablonec, Istra 1961",SVK
Tomáš Nemčík,/en/players/fe9f5ed2/Tomas-Nemcik,True,2022-2024,DF,"Rosenborg, Slovakia",SVK
Adam Nemec,/en/players/9e6bcbad/Adam-Nemec,True,2007-2024,FW,"Voluntari, Dinamo București, Kaiserslautern, Union Berlin, Slovakia, Erzgebirge Aue, Genk, Ingolstad",SVK
Iveta Neveďalová,/en/players/d96165b4/Iveta-Nevedalova,True,2017,FW,,SVK
Branislav Niňaj,/en/players/6c7dd5e0/Branislav-Ninaj,True,2014-2024,DF,"Sepsi Sfântu Gheorghe, Fortuna Sittard, Lokeren",SVK
Marcel Novák,/en/players/dfd1f42b/Marcel-Novak,True,2023-2024,MF,Slovácko,SVK
Adam Obert,/en/players/aa25ce92/Adam-Obert,True,2021-2024,DF,"Cagliari, Slovakia",SVK
Matej Oravec,/en/players/edd20aef/Matej-Oravec,True,2018-2020,DF,Spartak Trnava,SVK
Erik Pačinda,/en/players/e78f8d4a/Erik-Pacinda,True,2012-2020,FW,"Korona Kielce, Viktoria Plzeň, Slovakia",SVK
Kristína Panáková,/en/players/51b363bd/Kristina-Panakova,True,2019-2025,FW,"SV Neulengbach, Slovakia",SVK
Jakub Paur,/en/players/7642e43d/Jakub-Paur,True,2023-2024,MF,FC Spartak Trnava,SVK
Lukáš Pauschek,/en/players/12d82e32/Lukas-Pauschek,True,2011-2024,DF,"ŠK Slovan Bratislava, Mladá Boleslav, Bohemians 1905, Slovakia",SVK
Peter Pekarík,/en/players/c18d22f5/Peter-Pekarik,True,2008-2024,DF,"Hertha BSC, Slovakia, Wolfsburg, Kayserispor, MŠK Žilina",SVK
Róbert Pich,/en/players/8e0d09a6/Robert-Pich,True,2013-2023,"FW,MF","Śląsk Wrocław, Legia Warsaw, Kaiserslautern",SVK
Róbert Pillár,/en/players/087e3f77/Robert-Pillar,True,2017-2024,DF,Mezőkövesd,SVK
Branislav Pindroch,/en/players/049113c7/Branislav-Pindroch,True,2016-2021,GK,,SVK
Patrik Pinte,/en/players/95d456f5/Patrik-Pinte,True,2017-2018,FW,Haladás,SVK
Michal Piter-Bučko,/en/players/208541f8/Michal-Piter-Bucko,True,2012-2018,"DF,MF","Sandecja Nowy Sącz, Podbeskidzie",SVK
František Plach,/en/players/656aa474/Frantisek-Plach,True,2017-2024,GK,Piast Gliwice,SVK
Peter Pokorny,/en/players/2b63f134/Peter-Pokorny,True,2020-2024,MF,"Śląsk Wrocław, St. Pölten, Real Sociedad B, Fehérvár",SVK
Róbert Polievka,/en/players/be20ba2e/Robert-Polievka,True,2024,FW,Slovakia,SVK
Jakub Považanec,/en/players/36334b41/Jakub-Povazanec,True,2014-2024,MF,"Jablonec, Dukla Prague",SVK
Erik Prekop,/en/players/40fb643b/Erik-Prekop,True,2021-2024,"FW,MF","Bohemians 1905, Hradec Králové",SVK
Roman Procházka,/en/players/6228469d/Roman-Prochazka,True,2012-2024,MF,"FC Spartak Trnava, Levski Sofia, Górnik Zabrze, Viktoria Plzeň",SVK
Matúš Putnocký,/en/players/07b32022/Matus-Putnocky,True,2011-2022,GK,"Lech Poznań, Śląsk Wrocław, Ruch Chorzów",SVK
Matej Rakovan,/en/players/fd153fd2/Matej-Rakovan,True,2012-2024,GK,"Fastav Zlín, Vysočina Jihlava, Slavia Prague, Dundee United",SVK
Henrich Ravas,/en/players/7ad32ae1/Henrich-Ravas,True,2016-2024,GK,"Widzew Łódź, New England Revolution, Slovakia, Derby County U23, Hartlepool United",SVK
Martin Regáli,/en/players/1ee2ea01/Martin-Regali,True,2022-2024,FW,"Karviná, Kortrijk, Slovakia",SVK
