Name,url,Active,Years Played,Position,Clubs Played,IOC
Lukáš Endl,/en/players/3219566c/Lukas-Endl,True,2020-2023,DF,Zbrojovka Brno,CZE
Šimon Falta,/en/players/02f4dce7/Simon-Falta,True,2012-2023,MF,"Sigma Olomouc, Zbrojovka Brno, Viktoria Plzeň, Baník Ostrava",CZE
Antonín Fantiš,/en/players/1b1324d1/Antonin-Fantis,True,2009-2024,"FW,MF","Fastav Zlín, Baník Ostrava, Příbram, Jablonec",CZE
Vilem Fendrich,/en/players/580444c9/Vilem-Fendrich,True,2018-2024,GK,"Jablonec, Opava, Hradec Králové",CZE
Daniel Fila,/en/players/383a628e/Daniel-Fila,True,2020-2024,FW,"Teplice, Zbrojovka Brno, Mladá Boleslav, Slavia Prague",CZE
Dominik Fišer,/en/players/e042fee1/Dominik-Fiser,True,2023-2024,DF,Viktoria Plzeň,CZE
Jiří Fleišman,/en/players/9213f119/Jiri-Fleisman,True,2010-2024,DF,"Baník Ostrava, Karviná, Slovan Liberec, Mladá Boleslav",CZE
Jiří Floder,/en/players/47e75d17/Jiri-Floder,True,2015-2021,GK,Zbrojovka Brno,CZE
Martin Foltýn,/en/players/59d48e64/Martin-Foltyn,True,2012-2016,MF,Baník Ostrava,CZE
Jan Fortelny,/en/players/16bbf7ff/Jan-Fortelny,True,2016-2024,MF,"Sigma Olomouc, Teplice, Sparta Prague",CZE
Adam Fousek,/en/players/5512ed61/Adam-Fousek,True,2020-2023,MF,Zbrojovka Brno,CZE
Christián Frýdek,/en/players/c0321835/Christian-Frydek,True,2016-2024,MF,Slovan Liberec,CZE
Martin Frýdek,/en/players/b8b210d9/Martin-Frydek,True,2011-2024,"DF,MF","Luzern, Sparta Prague, Slovan Liberec, Czechia",CZE
Michal Frydrych,/en/players/ceb30355/Michal-Frydrych,True,2009-2024,DF,"Baník Ostrava, Slavia Prague, Wisła Kraków",CZE
Tomáš Fryšták,/en/players/b3436709/Tomas-Frystak,True,2010-2024,GK,"Slovácko, Bohemians 1905",CZE
Tereza Fuchsová,/en/players/f194f6b4/Tereza-Fuchsova,True,2022-2024,GK,Slavia Prague,CZE
Michal Fukala,/en/players/3a17d72b/Michal-Fukala,True,2018-2024,DF,Slovan Liberec,CZE
Jakub Fulnek,/en/players/c5c8088d/Jakub-Fulnek,True,2014-2024,FW,"Mladá Boleslav, Vysočina Jihlava, Bohemians 1905",CZE
Adam Gabriel,/en/players/1881d66b/Adam-Gabriel,True,2020-2024,DF,"Hradec Králové, Midtjylland, Czechia",CZE
Šimon Gabriel,/en/players/8a2270e8/Simon-Gabriel,True,2020-2021,DF,"Teplice, Mladá Boleslav",CZE
Michal Galus,/en/players/120cb5a1/Michal-Galus,True,2021-2022,MF,,CZE
Pavel Gaszczyk,/en/players/11d2efc5/Pavel-Gaszczyk,True,2022-2023,DF,,CZE
Albína Goretkiová,/en/players/47cd82a8/Albina-Goretkiova,True,2022-2023,MF,,CZE
