Name,url,Active,Years Played,Position,Clubs Played,IOC
Uroš Miladinović,/en/players/e4d08672/Uros-Miladinovic,True,2021-2024,FW,Čukarički,SRB
Milan Milanović,/en/players/9273e410/Milan-Milanovic,True,2011-2022,DF,"Ascoli, Palermo, Vicenza, Pisa, Radnički Kragujevac",SRB
Ognjen Milanović,/en/players/766595e5/Ognjen-Milanovic,True,2019-2024,FW,Mladost Lučani,SRB
Nikola Milenković,/en/players/bee704fc/Nikola-Milenkovic,True,2015-2024,DF,"Fiorentina, Serbia, Partizan",SRB
Nemanja Miletić,/en/players/57f60036/Nemanja-Miletic,True,2013-2024,DF,"Javor Ivanjica, Partizan, Ufa",SRB
Nemanja Miletić,/en/players/903b3b77/Nemanja-Miletic,True,2014-2023,DF,"Partizan, Borac Čačak, Al-Raed, Westerlo, Vojvodina, AC Omonia, Serbia",SRB
Vladimir Miletić,/en/players/e109d9ba/Vladimir-Miletic,True,2020-2024,DF,"Vojvodina, Voždovac",SRB
Andrija Milic,/en/players/867665a1/Andrija-Milic,True,2018-2024,MF,"Radnik Surdulica, Spartak Subotica",SRB
Ilija Milićević,/en/players/08ad1ae3/Ilija-Milicevic,True,2020-2024,DF,"Radnik Surdulica, Metalac GM, FK Kolubara",SRB
Nikola Miličić,/en/players/26a3c0aa/Nikola-Milicic,True,2022-2024,MF,Radnički Kragujevac,SRB
Sergej Milinković-Savić,/en/players/4e6dbac4/Sergej-Milinkovic-Savic,True,2013-2024,MF,"Lazio, Serbia, Al-Hilal, Genk, Vojvodina",SRB
Vanja Milinković-Savić,/en/players/9fa26bc2/Vanja-Milinkovic-Savic,True,2014-2024,GK,"Torino, Serbia, Lechia Gdańsk, Vojvodina, Ascoli, Standard Liège, SPAL",SRB
Luka Milivojević,/en/players/2ce2508a/Luka-Milivojevic,True,2008-2023,MF,"Crystal Palace, Olympiacos, Rad, Red Star, Serbia, Anderlecht",SRB
Vesna Milivojevic,/en/players/2fbd9d7d/Vesna-Milivojevic,True,2019-2025,"FW,MF","Canberra United, IFK Norrköping DFK, Serbia, Western Sydney Wanderers",SRB
Aleksandar Miljković,/en/players/cc57ceb7/Aleksandar-Miljkovic,True,2008-2023,"DF,MF","Partizan, Amkar Perm, Smederevo, Miedź, RNK Split, Braga, Metalac GM, Pyunik",SRB
Luka Milojević,/en/players/5d9983c0/Luka-Milojevic,True,2022-2023,MF,Radnički Kragujevac,SRB
Nemanja Milojević,/en/players/a30a0699/Nemanja-Milojevic,True,2016-2024,MF,"Čukarički, Novi Pazar, Voždovac, Vojvodina, FK Kolubara, Panionios",SRB
Mihajlo Milosavic,/en/players/99e470a5/Mihajlo-Milosavic,True,2022-2024,MF,TSC,SRB
Ivan Milosavljević,/en/players/7014f34b/Ivan-Milosavljevic,True,2010-2024,DF,"TSC, Voždovac, Smederevo",SRB
Mateja Milosavljevic,/en/players/c30f1491/Mateja-Milosavljevic,True,2023-2024,FW,Mladost Lučani,SRB
Radomir Milosavljević,/en/players/819f3a54/Radomir-Milosavljevic,True,2014-2024,"FW,MF","Vojvodina, Kashima Antlers, Mladost Lučani, Larissa, Lugano",SRB
Stefan Milosavljević,/en/players/f081e75e/Stefan-Milosavljevic,True,2009-2021,DF,"Mačva Šabac, Mladost Lučani, Novi Pazar",SRB
Veljko Milosavljević,/en/players/c478319d/Veljko-Milosavljevic,True,2023-2024,MF,Red Star,SRB
Aleksa Milosevic,/en/players/a324bdb4/Aleksa-Milosevic,True,2023-2024,DF,Mladost Lučani,SRB
Branislav Milošević,/en/players/dfd9ea03/Branislav-Milosevic,True,2009-2024,DF,"Radnički Kragujevac, Dukla Prague, Rad, BSK Borča, Proleter Novi Sad",SRB
Ivan Milošević,/en/players/c67c2198/Ivan-Milosevic,True,2008-2024,DF,"Mladost Lučani, Karpaty Lviv, Napredak Kruševac",SRB
Jovan Milošević,/en/players/fdbe14c8/Jovan-Milosevic,True,2022-2024,MF,"St. Gallen, Stuttgart, Vojvodina",SRB
Marko Milošević,/en/players/0cd1b62f/Marko-Milosevic,True,2014-2024,GK,"Debrecen, Zemun, Voždovac, Napredak Kruševac",SRB
Stefan Milošević,/en/players/9e2f54cf/Stefan-Milosevic,True,2013-2024,DF,"Javor Ivanjica, Spartak Subotica",SRB
Marko Milovanović,/en/players/1fda2b14/Marko-Milovanovic,True,2020-2024,FW,"Almería, Partizan",SRB
Mateja Milovanovic,/en/players/389db548/Mateja-Milovanovic,True,2022-2024,DF,Jong Ajax,SRB
Uroš Milovanović,/en/players/3c776f8f/Uros-Milovanovic,True,2020-2024,FW,"TSC, Radnik Surdulica, Sporting Gijón, Radnički Niš",SRB
Luka Milunović,/en/players/968463f8/Luka-Milunovic,True,2010-2023,FW,"Platanias, Red Star, Napredak Kruševac, Radnički Kragujevac, Zulte Waregem, Voždovac, Debrecen",SRB
