Name,url,Active,Years Played,Position,Clubs Played,IOC
Nando Almodóvar,/en/players/de3b5d82/Nando-Almodovar,True,2022-2024,GK,Cádiz,ESP
Agus Alonso,/en/players/5788870f/Agus-Alonso,True,2016-2024,FW,Navalcarnero,ESP
David Alonso,/en/players/3b2e25f5/David-Alonso,True,2023-2024,GK,Atlético de Lugones,ESP
Héctor Alonso,/en/players/e0ed34c1/Hector-Alonso,True,2015-2024,MF,"Cayón, Barakaldo",ESP
Imanol Alonso,/en/players/559c10a0/Imanol-Alonso,True,2023-2024,MF,Real Murcia,ESP
Javier Alonso,/en/players/63e79610/Javier-Alonso,True,2018-2024,MF,Tenerife,ESP
José Alonso,/en/players/361ee4d4/Jose-Alonso,True,2017-2024,DF,"UCAM Murcia, Cultural Leonesa",ESP
Julio Alonso,/en/players/8fcea8a1/Julio-Alonso,True,2018-2024,DF,Albacete,ESP
Marcos Alonso,/en/players/f4290206/Marcos-Alonso,True,2009-2024,"DF,MF","Barcelona, Chelsea, Fiorentina, Bolton Wanderers, Sunderland, Spain",ESP
Andrea Alonso Téllez,/en/players/69751968/Andrea-Alonso-Tellez,True,2023-2024,GK,Real Madrid,ESP
Víctor Alonso,/en/players/e818539a/Victor-Alonso,True,2018-2019,MF,UE Sant Andreu,ESP
Miquel Alorda,/en/players/520dd519/Miquel-Alorda,True,2023-2024,FW,Real Avilés,ESP
Jon Altamira,/en/players/2b7f68cc/Jon-Altamira,True,2018-2024,GK,Gernika Club,ESP
Adrià Altimira,/en/players/757a3431/Adria-Altimira,True,2021-2024,DF,"Villarreal B, Villarreal, Andorra",ESP
Sergi Altimira,/en/players/94acdd4e/Sergi-Altimira,True,2021-2024,MF,Real Betis,ESP
Altube,/en/players/e4cbb095/Altube,True,2019-2024,GK,"Albacete, CF Fuenlabrada",ESP
Adrián Álvarez,/en/players/284229b6/Adrian-Alvarez,True,2020-2024,GK,Arandina,ESP
Blas Álvarez,/en/players/662d74c9/Blas-Alvarez,True,2014-2015,MF,,ESP
Omar Álvarez Burgos,/en/players/1fdd25fd/Omar-Alvarez-Burgos,True,2014-2024,FW,"Covadonga, SD Formentera",ESP
Carlos Álvarez,/en/players/56bcaaa0/Carlos-Alvarez,True,2020-2024,MF,"Levante, Sevilla",ESP
César Álvarez,/en/players/4dc07b51/Cesar-Alvarez,True,2023-2024,DF,Tenerife,ESP
David Álvarez,/en/players/cf7a74d0/David-Alvarez,True,2023-2024,MF,Atlético Astorga,ESP
Fran Álvarez,/en/players/f0101a48/Fran-Alvarez,True,2020-2024,MF,"Widzew Łódź, Albacete",ESP
Hugo Álvarez,/en/players/6f392eb8/Hugo-Alvarez,True,2014-2024,DF,"Celta Vigo, Alcorcón, UCAM Murcia",ESP
Jesús ÁLVAREZ,/en/players/0fc3aade/Jesus-ALVAREZ,True,2018-2024,DF,Ibiza,ESP
Jorge Álvarez,/en/players/6a374da4/Jorge-Alvarez,True,2023-2024,DF,Marbella,ESP
José Álvarez,/en/players/1ac58c19/Jose-Alvarez,True,2023-2024,MF,Covadonga,ESP
Lucía Álvarez,/en/players/9cb573ce/Lucia-Alvarez,True,2023-2024,FW,Barcelona,ESP
Pablo Álvarez,/en/players/8a72016a/Pablo-Alvarez,True,2020-2024,MF,"Cherno More, Rijeka",ESP
Sergio Álvarez,/en/players/88d91621/Sergio-Alvarez,True,2009-2024,"DF,MF","Eibar, Sporting Gijón",ESP
Vicente Álvarez,/en/players/58b3ddbd/Vicente-Alvarez,True,2015-2024,MF,Covadonga,ESP
Víctor Álvarez,/en/players/563f3469/Victor-Alvarez,True,2010-2024,"DF,MF","KMSK Deinze, Espanyol, Arsenal Tula",ESP
Yeray Álvarez,/en/players/3ecc11d8/Yeray-Alvarez,True,2015-2024,DF,"Athletic Club, Athletic Bilbao B",ESP
Álvaro,/en/players/6f99a3fb/Alvaro,True,2020-2024,DF,Andratx,ESP
Álvaro,/en/players/8f557f8d/Alvaro,True,2023-2024,GK,Gimnástica Segoviana,ESP
Alvaro Alvira,/en/players/24e15b56/Alvaro-Alvira,True,2022-2024,DF,Utebo,ESP
Pere Amer,/en/players/ed81ee2d/Pere-Amer,True,2023-2024,DF,Andratx,ESP
Jonathan de Amo,/en/players/016c249d/Jonathan-de-Amo,True,2013-2022,DF,"Stal Mielec, Widzew Łódź, Górnik Łęczna, Miedź",ESP
Jose Amo,/en/players/444610e8/Jose-Amo,True,2016-2024,DF,"Tenerife, Ponferradina, Sevilla Atlético",ESP
José Miguel Ruiz del Amo,/en/players/41217d36/Jose-Miguel-Ruiz-del-Amo,True,2015-2024,DF,Real Murcia,ESP
Javi Amor,/en/players/683af1c0/Javi-Amor,True,2023-2024,FW,Atlético Astorga,ESP
Javier Anaya,/en/players/9127eb33/Javier-Anaya,True,2015-2016,MF,,ESP
Jon Ander,/en/players/e445fb1d/Jon-Ander,True,2014-2023,GK,Athletic Bilbao B,ESP
Ivana Andrés,/en/players/d0309b28/Ivana-Andres,True,2015-2024,DF,"Real Madrid, Spain",ESP
Sascha Andreu ,/en/players/5ac89b61/Sascha-Andreu,True,2020-2022,FW,,ESP
Andy,/en/players/bdc7dbb0/Andy,True,2014-2024,MF,"Burgos, Cartagena, Ponferradina, UD Logroñés",ESP
Ángel,/en/players/4a7078f9/Angel,True,2015-2023,"DF,MF","Wisła Płock, Valladolid, Cultural Leonesa, AEK Larnaca FC",ESP
Ángel,/en/players/b1e5bbec/Angel,True,2020-2024,GK,Ponferradina,ESP
José Ángel Alonso,/en/players/1950ed97/Jose-Angel-Alonso,True,2010-2020,DF,"Elche, Salamanca",ESP
José Ángel Ayala,/en/players/7406a454/Jose-Angel-Ayala,True,2020-2024,DF,Yeclano Deportivo,ESP
José Ángel Carrillo,/en/players/7beb6364/Jose-Angel-Carrillo,True,2013-2024,FW,"Huesca, Real Murcia, Lugo, Cádiz, Sevilla Atlético, Córdoba",ESP
José Ángel Crespo,/en/players/8ec4c2f7/Jose-Angel-Crespo,True,2005-2022,DF,"PAOK, Padova, Sevilla, Córdoba, Bologna, Racing Santander, Hellas Verona, Rayo Vallecano, Sevilla At",ESP
José Ángel,/en/players/3024e383/Jose-Angel,True,2008-2024,DF,"Sporting Gijón, Eibar, Real Sociedad, Roma, Osasuna, Porto, Villarreal",ESP
José Ángel,/en/players/c19131c6/Jose-Angel,True,2014-2024,MF,"Deportivo La Coruña, Almería, Cartagena, Tenerife, Bodø/Glimt, Alcorcón",ESP
Miguel Ángel Maza,/en/players/75f931e3/Miguel-Angel-Maza,True,2012-2020,MF,"Girona, Reggina, Foggia, Pordenone Calcio",ESP
Joan Àngel Román,/en/players/150a54c2/Joan-Angel-Roman,True,2012-2020,"FW,MF","Barcelona B, Miedź, Śląsk Wrocław, Panetolikos, Braga, Nacional",ESP
Miguel Ángel Rubio,/en/players/56cafd0a/Miguel-Angel-Rubio,True,2017-2024,DF,"Granada, Burgos, Valladolid",ESP
Miguel Ángel Sierra,/en/players/5a0a95a3/Miguel-Angel-Sierra,True,2023-2024,FW,Real Avilés,ESP
Angeliño,/en/players/30941e96/Angelino,True,2014-2024,"DF,MF","Roma, Galatasaray, RB Leipzig, PSV Eindhoven, Hoffenheim, NAC Breda, Mallorca, Manchester City, New",ESP
