Name,url,Active,Years Played,Position,Clubs Played,IOC
Csaba Bukta,/en/players/16433094/Csaba-Bukta,True,2020-2023,FW,Rheindorf Altach,HUN
Gábor Buna,/en/players/c0ba7df2/Gabor-Buna,True,2019-2023,DF,,HUN
Kata Buzás,/en/players/905a6292/Kata-Buzas,True,2021-2024,MF,"FC Aarau, Grasshopper",HUN
Flórián Cibla,/en/players/caffc2c9/Florian-Cibla,True,2023-2024,MF,Debrecen,HUN
Dominik Cipf,/en/players/3f56c68a/Dominik-Cipf,True,2017-2023,FW,"Honvéd, Vasas",HUN
Diána Csányi,/en/players/f75d9c79/Diana-Csanyi,True,2019-2025,DF,Hungary,HUN
Gergő Csatári,/en/players/066f44c2/Gergo-Csatari,True,2023-2024,MF,Diósgyőr,HUN
Benjámin Cseke,/en/players/7433fd71/Benjamin-Cseke,True,2014-2024,MF,"Mezőkövesd, Újpest, MTK Budapest, Paks",HUN
Adrián Csenterics,/en/players/967bea7a/Adrian-Csenterics,True,2021-2022,GK,,HUN
Tamás Cseri,/en/players/7e2a76e6/Tamas-Cseri,True,2017-2024,MF,"Mezőkövesd, Hungary",HUN
Kornél Csernik,/en/players/1d84dac7/Kornel-Csernik,True,2016-2019,MF,Ferencváros,HUN
Eszter Csigi,/en/players/190c56fe/Eszter-Csigi,True,2022-2023,DF,,HUN
Ádám Csilus,/en/players/799d79cf/Adam-Csilus,True,2014-2018,"FW,MF",Puskás Akadémia,HUN
István Csirmaz,/en/players/c514f935/Istvan-Csirmaz,True,2013-2024,MF,"Diósgyőr, Puskás Akadémia, Mezőkövesd",HUN
Henrietta Csiszár,/en/players/b82167c5/Henrietta-Csiszar,True,2016-2025,"FW,MF","Internazionale, Leverkusen, Hungary",HUN
Kevin Csoboth,/en/players/cf6fc95d/Kevin-Csoboth,True,2021-2024,FW,"Újpest, Hungary",HUN
Dániel Csóka,/en/players/29942db1/Daniel-Csoka,True,2017-2024,DF,"Zalaegerszeg, AFC Wimbledon, Wolverhampton Wanderers U23",HUN
Aron Csongvai,/en/players/88c0d379/Aron-Csongvai,True,2019-2024,FW,"Fehérvár, Újpest",HUN
András Csonka,/en/players/f4d94f13/Andras-Csonka,True,2016-2022,MF,"Budafoki MTE, Ferencváros, Gyirmót",HUN
Dominik Csontos,/en/players/ee9ba6b8/Dominik-Csontos,True,2019-2022,MF,Ferencváros,HUN
Viktor Csörgő,/en/players/78c7094a/Viktor-Csorgo,True,2020-2022,DF,Gyirmót,HUN
Richárd Csősz,/en/players/357a6f96/Richard-Csosz,True,2017-2021,MF,"Debrecen, Paks",HUN
Ádám Czékus,/en/players/e9ac90b0/Adam-Czekus,True,2023-2024,FW,Kisvárda,HUN
Dorottya Czellér,/en/players/c42f15e2/Dorottya-Czeller,True,2022-2023,MF,,HUN
Péter Czvitkovics,/en/players/01e7f2d2/Peter-Czvitkovics,True,2003-2017,MF,"Debrecen, MTK Budapest, Puskás Akadémia, Vasas, Kortrijk, Hungary",HUN
Martin Dala,/en/players/c15b3715/Martin-Dala,True,2021-2023,GK,,HUN
Márton Dárdai,/en/players/41bff4fa/Marton-Dardai,True,2017-2024,"DF,MF","Hertha BSC, Hungary, Hertha BSC U17, Hertha BSC U19",HUN
Palkó Dárdai,/en/players/db7161ed/Palko-Dardai,True,2016-2024,MF,"Hertha BSC, Fehérvár, Hertha BSC U19",HUN
Bence Daru,/en/players/3783f039/Bence-Daru,True,2016-2018,FW,Paks,HUN
Ákos Debreceni,/en/players/2c1e8be7/Akos-Debreceni,True,2020-2022,DF,,HUN
András Debreceni,/en/players/deb55053/Andras-Debreceni,True,2005-2018,"DF,MF","Honvéd, Vasas, Diósgyőr",HUN
Zalán Debreceni,/en/players/7237f870/Zalan-Debreceni,True,2022-2023,DF,Paks,HUN
Sebő Deme,/en/players/5d99dd27/Sebo-Deme,True,2023-2024,DF,Zalaegerszeg,HUN
Milán Demeter,/en/players/da6a0f2b/Milan-Demeter,True,2023-2024,MF,Diósgyőr,HUN
Patrik Demjén,/en/players/677f08ab/Patrik-Demjen,True,2019-2024,GK,"MTK Budapest, Hungary, Zalaegerszeg",HUN
Zoltán Derekas,/en/players/bc0f03b9/Zoltan-Derekas,True,2021-2024,MF,"Kecskemét, Mezőkövesd",HUN
Bence Deutsch,/en/players/b1ee17df/Bence-Deutsch,True,2013-2019,DF,"MTK Budapest, Pecs",HUN
László Deutsch,/en/players/c30319c0/Laszlo-Deutsch,True,2019-2023,DF,"Puskás Akadémia, Vasas",HUN
Dénes Dibusz,/en/players/4030c7ae/Denes-Dibusz,True,2011-2024,GK,"Ferencváros, Hungary, Pecs",HUN
Olivér Dinnyés,/en/players/af0fc7f6/Oliver-Dinnyes,True,2020-2022,MF,,HUN
Áron Dobos,/en/players/c3b9ed95/Aron-Dobos,True,2018-2019,FW,,HUN
Dávid Dombó,/en/players/19fe10f2/David-Dombo,True,2016-2024,GK,"Zalaegerszeg, Kisvárda, Mezőkövesd, Vasas",HUN
Filip Dragoner,/en/players/fb9314ef/Filip-Dragoner,True,2018-2021,FW,"Zalaegerszeg, Mezőkövesd",HUN
Szabolcs Dusinszki,/en/players/c6e8ded1/Szabolcs-Dusinszki,True,2022-2024,MF,Puskás Akadémia,HUN
Gellért Dúzs,/en/players/9984a0ab/Gellert-Duzs,True,2020-2023,GK,Honvéd,HUN
Balázs Dzsudzsák,/en/players/f05c3559/Balazs-Dzsudzsak,True,2005-2024,"FW,MF","Debrecen, PSV Eindhoven, Dynamo Moscow, Hungary, Bursaspor, Anzhi Makhachkala",HUN
Tamás Egerszegi,/en/players/dc3f93a8/Tamas-Egerszegi,True,2010-2020,MF,"Diósgyőr, Újpest, Mezőkövesd, Siófok, Paks, Vasas",HUN
Márk Engedi,/en/players/b48b8936/Mark-Engedi,True,2023-2024,GK,Debrecen,HUN
András Eördögh,/en/players/64bc8204/Andras-Eordogh,True,2020-2023,FW,Honvéd,HUN
Márton Eppel,/en/players/df863ec3/Marton-Eppel,True,2008-2024,FW,"Warta Poznań, Honvéd, MTK Budapest, Paks, Dunaújváros, Cercle Brugge, Hungary",HUN
Benedek Erdélyi,/en/players/b1669bad/Benedek-Erdelyi,True,2022-2024,GK,Debrecen,HUN
Ákos Ésik,/en/players/be851b2a/Akos-Esik,True,2023-2024,FW,Kisvárda,HUN
Fenyvesi Evelin,/en/players/e87f7d00/Fenyvesi-Evelin,True,2017-2025,MF,Hungary,HUN
István Fábiánkovits,/en/players/b0298c41/Istvan-Fabiankovits,True,2022-2023,FW,,HUN
Tamas Fadgyas,/en/players/1b39878d/Tamas-Fadgyas,True,2015-2024,GK,Kecskemét,HUN
Aurél Farkas,/en/players/2262e7b7/Aurel-Farkas,True,2019-2020,MF,Kaposvár,HUN
Bendegúz Farkas,/en/players/6acde4cb/Bendeguz-Farkas,True,2021-2022,DF,,HUN
Csanád Fehér,/en/players/3ec90a02/Csanad-Feher,True,2020-2024,DF,Újpest,HUN
Áron Fejős,/en/players/505f69d3/Aron-Fejos,True,2016-2020,MF,Paks,HUN
Máté Fekete,/en/players/8c4fb92b/Mate-Fekete,True,2020-2021,FW,Budafoki MTE,HUN
Vince Fekete,/en/players/856a77fa/Vince-Fekete,True,2023-2024,FW,Diósgyőr,HUN
Noah Fenyő,/en/players/ef8f2990/Noah-Fenyo,True,2021-2024,MF,"Eintracht Frankfurt U19, Eintracht Frankfurt U17",HUN
Bálint Ferencsik,/en/players/d5995baa/Balint-Ferencsik,True,2023-2024,MF,Diósgyőr,HUN
János Ferenczi,/en/players/83e6edd4/Janos-Ferenczi,True,2011-2024,MF,"Debrecen, Hungary",HUN
Attila Fiola,/en/players/bb17ccd0/Attila-Fiola,True,2008-2024,DF,"Fehérvár, Hungary, Paks, Puskás Akadémia",HUN
Ferenc Fodor,/en/players/43afd6ad/Ferenc-Fodor,True,2012-2016,DF,"Pecs, Nyíregyháza, Puskás Akadémia",HUN
Tamás Fodor,/en/players/1ff824de/Tamas-Fodor,True,2023-2024,GK,Fehérvár,HUN
Károly Földi,/en/players/60a12bfa/Karoly-Foldi,True,2023-2024,FW,Paks,HUN
Beatrix Fördős,/en/players/67d2f423/Beatrix-Fordos,True,2021-2025,DF,"Internazionale, Lazio",HUN
Gyula Forró,/en/players/5d442d17/Gyula-Forro,True,2011-2016,DF,"Kecskemét, Újpest, Puskás Akadémia, Hungary",HUN
Roland Frőhlich,/en/players/205ecea6/Roland-Frohlich,True,2011-2018,FW,"Pecs, Paks, Mezőkövesd",HUN
Márkó Futács,/en/players/1e74eab0/Marko-Futacs,True,2009-2022,FW,"MOL Vidi, Hajduk Split, Mersin İdmanyurdu, Portsmouth, Ingolstadt 04, Diósgyőr, Zalaegerszeg, MTK Bu",HUN
Bálint Gaál,/en/players/fc705f74/Balint-Gaal,True,2014-2019,FW,"Haladás, Vasas",HUN
Erik Gábor Czérna,/en/players/0ae978a4/Erik-Gabor-Czerna,True,2021-2023,MF,Kisvárda,HUN
Péter Gábor,/en/players/b71f54fa/Peter-Gabor,True,2015-2016,GK,,HUN
Zsolt Gajdos,/en/players/09a7cad8/Zsolt-Gajdos,True,2013-2017,MF,Puskás Akadémia,HUN
Dániel Gazdag,/en/players/527d0e31/Daniel-Gazdag,True,2014-2024,"FW,MF","Philadelphia Union, Hungary, Honvéd",HUN
Vajk Gazdag,/en/players/a1c5a1b8/Vajk-Gazdag,True,2021-2022,MF,,HUN
Bálint Geiger,/en/players/8b07ff90/Balint-Geiger,True,2023-2024,MF,Újpest,HUN
Balázs Gellén,/en/players/c7628e8d/Balazs-Gellen,True,2023-2024,DF,Debrecen,HUN
Genzler Gellért,/en/players/ca579afe/Genzler-Gellert,True,2023-2024,GK,Újpest,HUN
Gergő Gengeliczki,/en/players/d951ee04/Gergo-Gengeliczki,True,2014-2019,DF,"MTK Budapest, Nyíregyháza",HUN
Dániel Gera,/en/players/34e36281/Daniel-Gera,True,2014-2024,MF,"Diósgyőr, MTK Budapest, Puskás Akadémia, Ferencváros",HUN
Krisztián Géresi,/en/players/1053821f/Krisztian-Geresi,True,2015-2023,MF,"Fehérvár, Puskás Akadémia, Vasas",HUN
Roland Gergely,/en/players/05613bc6/Roland-Gergely,True,2022-2024,GK,Fehérvár,HUN
Bence Gergényi,/en/players/0446eeea/Bence-Gergenyi,True,2019-2024,DF,"Zalaegerszeg, Fehérvár",HUN
Zsolt Gévay,/en/players/4bb58c59/Zsolt-Gevay,True,2009-2024,DF,"Paks, Mezőkövesd",HUN
Dávid Görgényi,/en/players/c240f6f2/David-Gorgenyi,True,2008-2016,DF,Vasas,HUN
Gergo Gorog,/en/players/7e396c60/Gergo-Gorog,True,2020-2021,MF,,HUN
Dávid Gróf,/en/players/3dc7cc62/David-Grof,True,2010-2023,GK,"Honvéd, Walsall, Debrecen, Mansfield Town, Levadiakos, Ferencváros",HUN
Zsombor Gruber,/en/players/16adc81f/Zsombor-Gruber,True,2020-2024,FW,"Puskás Akadémia, Zalaegerszeg",HUN
Attila Grünwald,/en/players/f82e5d7b/Attila-Grunwald,True,2022-2024,DF,Kecskemét,HUN
Péter Gulácsi,/en/players/bcb2ccd8/Peter-Gulacsi,True,2008-2024,GK,"RB Leipzig, Hungary, Red Bull Salzburg, Hereford United, Tranmere Rovers, Hull City",HUN
Bence Gundel-Takács,/en/players/b2cba348/Bence-Gundel-Takacs,True,2017-2022,GK,Újpest,HUN
Márk Gyetván,/en/players/a1ba4355/Mark-Gyetvan,True,2021-2023,GK,,HUN
Ádám Gyurcsó,/en/players/a6979b0f/Adam-Gyurcso,True,2010-2023,"FW,MF","Fehérvár, Pogoń Szczecin, Hajduk Split, Puskás Akadémia, Kecskemét, Hungary, Osijek, AEK Larnaca FC",HUN
Bence Gyurján,/en/players/2b48cf15/Bence-Gyurjan,True,2010-2017,MF,"Haladás, Gyirmót",HUN
Márton Gyurján,/en/players/2d2eae9c/Marton-Gyurjan,True,2015-2024,GK,"Zalaegerszeg, Haladás",HUN
Gergő Gyurkits,/en/players/bac892f6/Gergo-Gyurkits,True,2021-2023,MF,Paks,HUN
Valentin Hadaró,/en/players/5f27d3f0/Valentin-Hadaro,True,2013-2023,MF,"Kaposvár, Kecskemét",HUN
János Hahn,/en/players/adb76550/Janos-Hahn,True,2012-2024,FW,"Paks, Hungary",HUN
Ádám Hajdú,/en/players/e8b40607/Adam-Hajdu,True,2013-2022,MF,"Paks, Gyirmót, MTK Budapest, Honvéd",HUN
Szilveszter Hangya,/en/players/b6ccdcda/Szilveszter-Hangya,True,2013-2024,MF,"Fehérvár, Vasas, Hungary",HUN
Zsolt Haraszti,/en/players/cf516bda/Zsolt-Haraszti,True,2010-2024,FW,"Paks, Fehérvár, Siófok, Puskás Akadémia, MTK Budapest, Ferencváros",HUN
Attila Haris,/en/players/2553978c/Attila-Haris,True,2014-2023,MF,"Debrecen, Balmazújváros, Paks",HUN
András Hársfalvi,/en/players/47c15945/Andras-Harsfalvi,True,2017-2022,GK,Gyirmót,HUN
János Hegedűs,/en/players/3f4f7a27/Janos-Hegedus,True,2014-2024,DF,"Paks, Puskás Akadémia, Diósgyőr, Haladás, Vasas",HUN
Krisztián Hegyi,/en/players/2411c7f7/Krisztian-Hegyi,True,2019-2024,GK,"Den Bosch, Stevenage, Hungary, West Ham United U23, West Ham United U21",HUN
Kristóf Herjeczki,/en/players/1632dba9/Kristof-Herjeczki,True,2017-2022,FW,"Gyirmót, Honvéd",HUN
Patrik Hidi,/en/players/a4b9dd9a/Patrik-Hidi,True,2008-2023,MF,"Honvéd, Vasas, Oviedo",HUN
Sándor Hidi,/en/players/55db9122/Sandor-Hidi,True,2022-2023,MF,Vasas,HUN
Kristóf Hinora,/en/players/b25a9c4b/Kristof-Hinora,True,2022-2023,MF,Vasas,HUN
Ádám Holczer,/en/players/e0e83985/Adam-Holczer,True,2009-2021,GK,"Paks, Kecskemét, Ferencváros",HUN
Gergő Holdampf,/en/players/f01c89b7/Gergo-Holdampf,True,2018-2024,MF,"Diósgyőr, Haladás",HUN
Filip Holender,/en/players/1adb73db/Filip-Holender,True,2012-2023,FW,"Honvéd, Partizan, Lugano, Vasas, Hungary",HUN
Dávid Holman,/en/players/588de166/David-Holman,True,2011-2021,MF,"Debrecen, Ferencváros, Lech Poznań, Hungary, ŠK Slovan Bratislava",HUN
Csaba Hornyák,/en/players/046f4102/Csaba-Hornyak,True,2023-2024,DF,Debrecen,HUN
András Horváth,/en/players/4142103a/Andras-Horvath,True,2014-2021,GK,Honvéd,HUN
Artúr Horváth,/en/players/9fd47a9c/Artur-Horvath,True,2021-2024,MF,MTK Budapest,HUN
Dániel Horváth,/en/players/a0f23220/Daniel-Horvath,True,2014-2015,GK,,HUN
Kevin Horváth,/en/players/5326ef02/Kevin-Horvath,True,2022-2024,DF,Paks,HUN
Krisztofer Horváth,/en/players/4ce8f4a3/Krisztofer-Horvath,True,2019-2024,MF,"Kecskemét, Hungary, Debrecen, SPAL",HUN
Milán Horváth,/en/players/3b18d986/Milan-Horvath,True,2022-2023,DF,,HUN
Péter Horváth,/en/players/f8f654cd/Peter-Horvath,True,2013-2019,FW,"MTK Budapest, Paks",HUN
Zaán Horváth,/en/players/d3249e36/Zaan-Horvath,True,2023-2024,MF,Debrecen,HUN
Zoltán Horváth,/en/players/4f910571/Zoltan-Horvath,True,2012-2021,FW,"Kisvárda, Eger, Debrecen",HUN
András Huszti,/en/players/eb885748/Andras-Huszti,True,2019-2024,DF,"Zalaegerszeg, Újpest, Budafoki MTE",HUN
Gergely Hutvágner,/en/players/0ddac7e3/Gergely-Hutvagner,True,2016-2018,GK,,HUN
Sebestyén Ihrig-Farkas,/en/players/1a4ae528/Sebestyen-Ihrig-Farkas,True,2014-2023,MF,"Budafoki MTE, Vasas, Honvéd",HUN
Bálint Illés,/en/players/c6e02f3a/Balint-Illes,True,2023-2024,MF,Mezőkövesd,HUN
Dávid Illés,/en/players/94e05986/David-Illes,True,2013-2015,MF,,HUN
Milán Ináncsi,/en/players/e260d160/Milan-Inancsi,True,2023-2024,MF,Mezőkövesd,HUN
