Name,url,Active,Years Played,Position,Clubs Played,IOC
Daryna Bondarchuk,/en/players/c6e55d2b/Daryna-Bondarchuk,True,2019-2023,GK,Ukraine,UKR
Artem Bondarenko,/en/players/415568b5/Artem-Bondarenko,True,2019-2024,MF,"Shakhtar Donetsk, Ukraine, FC Mariupol",UKR
Taras Bondarenko,/en/players/5d0ffbed/Taras-Bondarenko,True,2016-2023,GK,"Radnički Niš, Metalac GM, Radnik Surdulica",UKR
Valeriy Bondarenko,/en/players/1281be1c/Valeriy-Bondarenko,True,2016-2024,DF,"FC Kolos Kovalivka, FC Oleksandriya, Vitória Guimarães, Vorskla Poltava",UKR
Andriy Boryachuk,/en/players/cef6d093/Andriy-Boryachuk,True,2015-2024,"DF,FW","FK Metalist 1925 Kharkiv, FC Mariupol, Рух, Shakhtar Donetsk, Rizespor, Mezőkövesd",UKR
Bohdan Boychuk,/en/players/d4b01264/Bohdan-Boychuk,True,2014-2024,"FW,MF","Chornomorets Odesa, Рух, FK Metalist Kharkiv, Metalist Kharkiv",UKR
Denys Boyko,/en/players/1e064bfb/Denys-Boyko,True,2009-2024,GK,"FC Polissya Zhytomyr, Dnipro Dnipropetrovsk, Dynamo Kyiv, Kryvbas Kryvyi Rih, Obolon Kyiv, Ukraine,",UKR
Maksym Braharu,/en/players/9e77a6e6/Maksym-Braharu,True,2021-2024,"DF,MF",Chornomorets Odesa,UKR
Anton Bratkov,/en/players/e2ba7e5f/Anton-Bratkov,True,2017-2023,DF,"FC Lviv, Desna Chernihiv, Zirka Kropyvnytskyi, Pyunik",UKR
Volodymyr Brazhko,/en/players/696197fb/Volodymyr-Brazhko,True,2022-2024,MF,"Dynamo Kyiv, Ukraine, Zorya Luhansk",UKR
Ivan Brikner,/en/players/ac3d2377/Ivan-Brikner,True,2016-2022,"DF,MF","FC Lviv, Olimpik Donetsk, Рух",UKR
Pylyp Budkivskyi,/en/players/5f53dd18/Pylyp-Budkivskyi,True,2010-2024,FW,"FC Polissya Zhytomyr, Zorya Luhansk, Desna Chernihiv, Anzhi Makhachkala, Illichivets Mariupol, Socha",UKR
Bohdan Budko,/en/players/22c3d633/Bohdan-Budko,True,2023-2024,MF,Jong AZ,UKR
Vladyslav Buhay,/en/players/e69160c1/Vladyslav-Buhay,True,2018-2024,FW,"Zorya Luhansk, FC Lviv, Chornomorets Odesa, FC Mariupol",UKR
Hlib Bukhal,/en/players/593bf50d/Hlib-Bukhal,True,2017-2023,DF,"FC Oleksandriya, PFC Hebar Pazardzhik",UKR
Serhii Buletsa,/en/players/d7fb04ba/Serhii-Buletsa,True,2018-2024,MF,"Zagłębie Lubin, Zorya Luhansk, SC Dnipro-1, Ukraine",UKR
Andrii Buleza,/en/players/97eace8a/Andrii-Buleza,True,2022-2024,DF,FK Mynai,UKR
Denys Bunchukov,/en/players/347b9c7e/Denys-Bunchukov,True,2022-2023,MF,R.F.C. Seraing,UKR
Mykyta Burda,/en/players/44f050bc/Mykyta-Burda,True,2014-2024,DF,"FC Kolos Kovalivka, Dynamo Kyiv, Ukraine",UKR
Heorhiy Bushchan,/en/players/eb2b33aa/Heorhiy-Bushchan,True,2015-2024,GK,"Dynamo Kyiv, Ukraine",UKR
Yuriy Bushman,/en/players/8cf8fc5b/Yuriy-Bushman,True,2012-2019,MF,"Arsenal-Kyiv, Arsenal Kyiv",UKR
Andriy Busko,/en/players/06304b57/Andriy-Busko,True,2017-2023,DF,"FC Lviv, Karpaty Lviv",UKR
Tymur Butenko,/en/players/0e9c1083/Tymur-Butenko,True,2023-2024,Kryvbas Kryvyi Rih,,UKR
Bohdan Butko,/en/players/8a7a5ad7/Bohdan-Butko,True,2010-2024,DF,"Zorya Luhansk, Illichivets Mariupol, Shakhtar Donetsk, Amkar Perm, Volyn Lutsk, Ukraine, Lech Poznań",UKR
Vitaliy Buyalskyi,/en/players/b8814868/Vitaliy-Buyalskyi,True,2012-2024,MF,"Dynamo Kyiv, Ukraine, Hoverla Uzhhorod",UKR
Kostiantyn Bychek,/en/players/44847e5d/Kostiantyn-Bychek,True,2022-2024,FW,FK Metalist 1925 Kharkiv,UKR
Oleksii Bykov,/en/players/2080dd6f/Oleksii-Bykov,True,2017-2022,DF,"FC Mariupol, Lokomotiv Plovdiv",UKR
Ihor Bykovskyi,/en/players/3c26407a/Ihor-Bykovskyi,True,2018-2019,MF,,UKR
Ambrosiy Chachua,/en/players/124cc6e5/Ambrosiy-Chachua,True,2013-2018,"DF,MF",Karpaty Lviv,UKR
Ihor Chaykovskyi,/en/players/db168a1c/Ihor-Chaykovskyi,True,2010-2023,MF,"Zorya Luhansk, Illichivets Mariupol, FK Metalist Kharkiv, Anzhi Makhachkala, FK Inhulets",UKR
Yevhen Cheberko,/en/players/02fbc447/Yevhen-Cheberko,True,2016-2024,"DF,MF","Columbus Crew, Zorya Luhansk, Osijek, FC Dnipro, LASK",UKR
Danyil Checher,/en/players/7bfce9ce/Danyil-Checher,True,2023-2024,DF,FC Polissya Zhytomyr,UKR
Maksym Chekh,/en/players/1963703b/Maksym-Chekh,True,2019-2022,MF,FC Mariupol,UKR
Artem Cheliadin,/en/players/11502946/Artem-Cheliadin,True,2019-2024,MF,Vorskla Poltava,UKR
Serhiy Chenbay,/en/players/2573011c/Serhiy-Chenbay,True,2011-2023,"DF,MF","FK Metalist 1925 Kharkiv, FK Inhulets, Vorskla Poltava",UKR
