Name,url,Active,Years Played,Position,Clubs Played,IOC
Mert Kömür,/en/players/ec68a918/Mert-Komur,True,2021-2024,MF,"Augsburg, Augsburg U19, Augsburg U17",GER
Timo Kondziella,/en/players/9a3de81b/Timo-Kondziella,True,2019-2022,MF,"Alemannia Aachen U17, Alemannia Aachen U19",GER
Nzeusse Kongni,/en/players/1eed1445/Nzeusse-Kongni,True,2023-2024,DF,1860 Munich U17,GER
Nathaniel König,/en/players/f3d66b2c/Nathaniel-Konig,True,2023-2024,DF,Leverkusen U17,GER
Noah König,/en/players/121093e0/Noah-Konig,True,2019-2022,DF,"Hoffenheim U17, Hoffenheim U19",GER
Phillip König,/en/players/b423507b/Phillip-Konig,True,2016-2024,FW,"MSV Duisburg, Wolfsburg U17, Wolfsburg U19",GER
Raùl König,/en/players/3bd4971a/Raul-Konig,True,2020-2024,FW,"Mainz 05 U19, Dortmund U19, Dortmund U17",GER
Tom König,/en/players/7d930570/Tom-Konig,True,2021-2024,MF,Heidenheim U19,GER
Timo Königsmann,/en/players/010ad222/Timo-Konigsmann,True,2014-2024,GK,"Sandhausen, Mannheim",GER
Mike Könnecke,/en/players/e337f5a7/Mike-Konnecke,True,2011-2023,"FW,MF","Zwickau, Erzgebirge Aue",GER
Manuel Konrad,/en/players/c278ebad/Manuel-Konrad,True,2006-2020,MF,"FSV Frankfurt, Uerdingen, Dynamo Dresden, Unterhaching, Freiburg",GER
Alexander Kopf,/en/players/32c5dee2/Alexander-Kopf,True,2016-2023,DF,"Stuttgart U17, Stuttgart U19",GER
Joshua Kopf,/en/players/82eda676/Joshua-Kopf,True,2021-2024,DF,"Heidenheim U19, Heidenheim U17",GER
Pascal Köpke,/en/players/3861d9cc/Pascal-Kopke,True,2013-2024,FW,"MSV Duisburg, Erzgebirge Aue, Unterhaching, Nürnberg, Hertha BSC, Karlsruher",GER
Marvin Kopp,/en/players/395a97fc/Marvin-Kopp,True,2021-2024,GK,Union Berlin U17,GER
Jeremy Köppe,/en/players/8bd49185/Jeremy-Koppe,True,2022-2023,MF,Magdeburg U17,GER
Julian Köppl,/en/players/5437310f/Julian-Koppl,True,2023-2024,MF,"Mainz 05 U17, Kaiserslautern U17",GER
Björn Kopplin,/en/players/a77b5db5/Bjorn-Kopplin,True,2009-2024,DF,"Randers, Bochum, Preußen Münster, Union Berlin, Bayern Munich II, Hobro, Brøndby",GER
Julian Korb,/en/players/3dffff26/Julian-Korb,True,2011-2023,"DF,MF","Borussia Mönchengladbach, Hannover 96, Holstein Kiel",GER
Sascha Korb,/en/players/53151c0a/Sascha-Korb,True,2012-2021,"DF,MF","SC Verl, Kickers Offenbach",GER
Niklas Körber,/en/players/2cba9928/Niklas-Korber,True,2023-2024,DF,TuS Makkabi Berlin,GER
Nils-Jonathan Körber,/en/players/6ac69ff9/Nils-Jonathan-Korber,True,2015-2024,GK,"Hansa Rostock, Greuther Fürth, Osnabrück, Preußen Münster",GER
