Name,url,Active,Years Played,Position,Clubs Played,IOC
Keith Bray,/en/players/bce223af/Keith-Bray,True,2022-2024,MF,Inverness CT,SCO
Rhys Breen,/en/players/82970b14/Rhys-Breen,True,2020-2024,DF,"Dunfermline Athletic, Queen of the South, Orange County SC",SCO
Logan Briggs,/en/players/48e141b2/Logan-Briggs,True,2023-2024,DF,"Leicester City U21, Leicester City",SCO
Tomas Brindley,/en/players/db61acf6/Tomas-Brindley,True,2019-2021,MF,,SCO
Kirk Broadfoot,/en/players/8dbeac13/Kirk-Broadfoot,True,2006-2024,DF,"Greenock Morton, Kilmarnock, Rangers, Blackpool, Rotherham United, St Mirren, Inverness CT",SCO
Adam Brooks,/en/players/d44ad08a/Adam-Brooks,True,2023-2024,MF,Inverness CT,SCO
Eamonn Brophy,/en/players/a8f3f887/Eamonn-Brophy,True,2012-2024,FW,"Ross County, Kilmarnock, Hamilton Academical, St Mirren, Dumbarton",SCO
Harry Broun,/en/players/fb5b005a/Harry-Broun,True,2020-2021,DF,,SCO
Aaron Brown,/en/players/4a2c08f4/Aaron-Brown,True,2023-2024,FW,Kilmarnock,SCO
Adam Brown,/en/players/9d0f10a1/Adam-Brown,True,2014-2021,MF,"Alloa Athletic, St Mirren",SCO
Fiona Brown,/en/players/abe09e09/Fiona-Brown,True,2016-2025,FW,"Rosengård, Scotland, Eskilstuna United",SCO
Jack Brown,/en/players/40b5e50d/Jack-Brown,True,2017-2019,DF,,SCO
Jacob Brown,/en/players/ca18c8f1/Jacob-Brown,True,2016-2024,"FW,MF","Stoke City, Luton Town, Scotland, Barnsley, Chesterfield",SCO
Jason Brown,/en/players/f2c85b30/Jason-Brown,True,2014-2016,MF,,SCO
Jordon Brown,/en/players/69a0a122/Jordon-Brown,True,2012-2013,MF,,SCO
Liam Brown,/en/players/dea87513/Liam-Brown,True,2017-2023,MF,Queen's Park FC,SCO
Scott Brown,/en/players/5af2d571/Scott-Brown,True,2013-2024,MF,"Raith Rovers, St Johnstone, Dumbarton",SCO
Darren Brownlie,/en/players/1a1db3ca/Darren-Brownlie,True,2013-2023,DF,"Queen of the South, Cowdenbeath, Partick Thistle",SCO
Cameron Bruce,/en/players/0b323fe4/Cameron-Bruce,True,2022-2024,DF,Queen's Park FC,SCO
