Name,url,Active,Years Played,Position,Clubs Played,IOC
Arlind Dakaj,/en/players/b1fda338/Arlind-Dakaj,True,2022-2024,MF,Cherno More,SUI
Ruben Dantas Fernandes,/en/players/e5023eec/Ruben-Dantas-Fernandes,True,2022-2023,MF,,SUI
Fabio Daprelà,/en/players/6bff8a73/Fabio-Daprela,True,2007-2024,"DF,MF","Zürich, Lugano, Brescia, Palermo, Grasshopper, Bari, West Ham United",SUI
Nils De Mol,/en/players/48a061e5/Nils-De-Mol,True,2019-2024,GK,Basel,SUI
Gianni De Nitti,/en/players/e32187c8/Gianni-De-Nitti,True,2021-2023,GK,,SUI
Noah De Queiroz,/en/players/5539add3/Noah-De-Queiroz,True,2019-2024,DF,Lugano,SUI
Steven Deana,/en/players/c552e3a5/Steven-Deana,True,2013-2024,GK,"Lugano, Grasshopper, Sion",SUI
Saulo Decarli,/en/players/41df88b8/Saulo-Decarli,True,2012-2024,DF,"Eintracht Braunschweig, Bochum, Club Brugge, Livorno, Avellino",SUI
Ruben Del Campo,/en/players/8e00cf1b/Ruben-Del-Campo,True,2019-2024,FW,"Atlético Ottawa, Famalicão",SUI
Malik Deme,/en/players/b5f12373/Malik-Deme,True,2023-2024,FW,Young Boys,SUI
Jasper van der Werff,/en/players/1d896c05/Jasper-van-der-Werff,True,2017-2024,DF,"Hansa Rostock, Paderborn 07, Basel, St. Gallen, Red Bull Salzburg",SUI
Eren Derdiyok,/en/players/4e133a88/Eren-Derdiyok,True,2006-2023,FW,"Bayer Leverkusen, Basel, Galatasaray, Switzerland, Kasımpaşa, Hoffenheim, Göztepe",SUI
Matteo Di Giusto,/en/players/0aeb0961/Matteo-Di-Giusto,True,2018-2024,"FW,MF","FC Winterthur, Vaduz, Freiburg U19",SUI
Nevio Di Giusto,/en/players/647d6f46/Nevio-Di-Giusto,True,2023-2024,MF,Zürich,SUI
Leandro Di Gregorio,/en/players/7c09354f/Leandro-Di-Gregorio,True,2015-2016,DF,,SUI
John Dinkota,/en/players/cb1fd9c9/John-Dinkota,True,2015-2024,DF,"CS Louhans-Cuiseaux, FC Montréal, Jura Sud Lavans",SUI
Fabio Dixon,/en/players/5626f324/Fabio-Dixon,True,2018-2022,MF,"Dalkurd, Zürich",SUI
Maxime Dominguez,/en/players/1fe2c2e0/Maxime-Dominguez,True,2015-2024,MF,"Gil Vicente, Raków Częstochowa, Miedź Legnica, Lausanne-Sport",SUI
